id,property_cost,monthly_income,current_total_emi,interest_rate,loan_amount,tenure,interest_amount,offer_processing_fees,offer_emi,Success
2760,4000000,33000,4500,10.25,"32,00,000",30,"71,23,575","15,000","28,675",0
2777,3920000,65000,17000,10.25,,,"3,42,959","10,000","18,652",0
2780,4000000,30000,0,10.25,"25,00,000",20,"33,89,906","15,000","24,541",0
2783,0,41500,0,10.25,"30,10,262",30,"67,00,737","15,000","26,975",1
2863,,40000,15000,10.25,"10,00,000",16,"10,38,173","15,000","10,615",0
2873,2000000,25000,0,10.25,"10,00,000",15,"9,62,035","15,000","10,899",0
2874,,34000,0,9.95,"17,25,558",20,"23,12,630","15,000","16,823",0
2883,,27500,0,10.25,"9,50,000",20,"12,88,480","15,000","9,325",0
2900,12500000,25000,0,9.9,"12,00,000",20,"16,08,355","9,000","11,699",0
2901,0,12600,3000,10.5,"7,00,000",20,"9,77,654","3,500","6,988",0
2906,,70000,0,9.95,"30,00,000",20,"40,20,088","10,000","29,249",0
2941,,12000,0,10.5,"5,00,000",15,"5,09,048","10,000","5,604",0
2978,0,21500,3536,10.25,"11,64,935",30,"25,93,104","15,000","10,439",0
2987,0,35000,0,10.25,"12,00,000",20,"16,27,525","15,000","11,779",0
2988,1600000,40000,0,10.5,"11,00,000",20,"15,35,824","5,500","10,982",0
2989,1600000,40000,0,10.5,"11,00,000",20,"15,35,824","5,500","10,982",0
2990,1600000,40000,0,10.25,"11,00,000",20,"14,91,580","15,000","10,798",0
2991,1600000,40000,0,9.9,"11,00,000",20,"15,80,514","5,500","11,167",0
3024,0,30000,0,10.5,"30,00,000",25,"54,98,152","12,000","28,325",0
3048,,18750,0,10.5,"11,00,000",20,"15,35,824","5,500","10,982",0
3057,4200000,40000,0,10.25,"29,40,000",15,"28,28,156","29,400","32,044",0
3062,5500000,64000,0,10.25,"42,99,157",21,"61,84,671","15,000","41,599",1
3084,20000000,80000,0,10.5,"42,36,129",22,"66,40,286","16,944","41,196",0
3096,3800000,28600,0,9.95,"14,85,232",20,"19,90,530","15,000","14,480",0
